,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist,Developer,Publisher,Year Released,Month Released,Game Type,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Total Sales,North American Sales,Japan Sales,PAL Sales,Other Sales,Console
812,Final Fantasy VII,31-Jan-97,"['Square', 'Eidos Interactive']",4.2,2.9K,2900,"['Adventure', 'RPG', 'Turn Based Strategy']",15000,1.1K,5K,1.5K,Square,Sony Computer Entertainment,1997,Jan,AAA,Adventure,RPG,Turn Based Strategy,,,,,,,,,['PS']
813,Persona 4 Golden,15-Jun-12,"['NIS America', 'Atlus']",4.2,1.9K,1900,"['Adventure', 'RPG', 'Simulator', 'Visual Novel']",13000,1.5K,5.2K,2.2K,Atlus,Atlus,2012,Jun,AAA,Adventure,RPG,Simulator,Visual Novel,,,1.25,0.37,0.39,0.29,0.21,['PSV']
817,Super Mario Galaxy,1-Nov-07,"['Nintendo EAD', 'Nintendo']",4.3,2.7K,2700,"['Adventure', 'Platform']",21000,468,3.1K,1.2K,Nintendo EAD Tokyo,Nintendo,2007,Nov,AAA,Adventure,Platform,,,,,,,,,,['Wii']
818,Fallout: New Vegas,19-Oct-10,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",4.3,2K,2000,"['RPG', 'Shooter']",16000,756,5K,1.4K,Obsidian Entertainment,Bethesda Softworks,2010,Oct,AAA,RPG,Shooter,,,,,3.17,1.54,0.1,1.04,0.49,"['PC', 'X360', 'PS3']"
819,Outer Wilds,28-May-19,"['Mobius Digital', 'Annapurna Interactive']",4.6,1.8K,1800,"['Adventure', 'Indie', 'Puzzle', 'Simulator']",7700,661,4.8K,3.1K,Mobius Digital,Annapurna Interactive,2019,May,Indie,Adventure,Indie,Puzzle,Simulator,,,,,,,,"['PS4', 'XOne', 'PC']"
820,Resident Evil 2,25-Jan-19,"['Capcom', 'Capcom Development Division 1']",4.3,2.5K,2500,"['Adventure', 'Shooter']",15000,585,3.6K,1.9K,Capcom,Capcom,2019,Jan,AAA,Adventure,Shooter,,,,,,,,,,"['XOne', 'PS4', 'PC']"
824,Stardew Valley,26-Feb-16,"['ConcernedApe', 'Chucklefish Games']",4.1,1.7K,1700,"['Indie', 'RPG', 'Simulator', 'Strategy']",20000,2K,3.6K,1.1K,ConcernedApe,Chucklefish,2016,Feb,Indie,Indie,RPG,Simulator,Strategy,,,,,,,,"['Series', 'PC']"
826,Silent Hill 2,24-Sep-01,"['Team Silent', 'Konami']",4.5,2.2K,2200,"['Adventure', 'Puzzle']",8600,282,2.9K,2.1K,KCET,Konami,2001,Sep,AAA,Adventure,Puzzle,,,,,1.28,0.62,,0.49,0.16,['PS2']
827,The Witcher 3: Wild Hunt,19-May-15,"['WB Games', 'CD Projekt RED']",4.3,2K,2000,"['Adventure', 'RPG']",17000,1.2K,6.1K,1.6K,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,2015,May,AAA,Adventure,RPG,,,,,,,,,,"['PC', 'PS4', 'XOne']"
829,Doom Eternal,19-Mar-20,"['Bethesda Softworks', 'id Software']",4.2,1.9K,1900,['Shooter'],12000,738,4.6K,2.4K,id Software,Bethesda Softworks,2020,Mar,AAA,Shooter,,,,,,,,,,,"['PC', 'PS4', 'NS', 'XOne']"
830,The Elder Scrolls V: Skyrim,10-Nov-11,"['Bethesda Game Studios', 'Bethesda Softworks']",3.7,1.7K,1700,"['Adventure', 'RPG']",22000,589,3K,1K,Bethesda Game Studios,Bethesda Softworks,2011,Nov,AAA,Adventure,RPG,,,,,3.99,1.18,,2.25,0.56,"['X360', 'PS3', 'PC']"
832,Devil May Cry 5,8-Mar-19,"['Capcom', 'Capcom Development Division 1']",4.3,1.9K,1900,"['Adventure', 'Brawler']",12000,524,4.1K,2.4K,Capcom,Capcom,2019,Mar,AAA,Adventure,Brawler,,,,,,,,,,"['XOne', 'PC', 'PS4']"
834,Resident Evil 4,11-Jan-05,"['Capcom', 'Capcom Production Studio 4']",4.3,2.3K,2300,['Shooter'],14000,360,3K,1.2K,Capcom,Capcom,2005,Jan,AAA,Shooter,,,,,,,,,,,"['PS2', 'GC']"
835,Final Fantasy VII Remake,10-Apr-20,['Square Enix'],4.1,2K,2000,"['Adventure', 'RPG']",12000,898,4.2K,2.2K,Square Enix,Square Enix,2020,Apr,AAA,Adventure,RPG,,,,,,,,,,['PS4']
839,Dark Souls,22-Sep-11,"['FromSoftware', 'Bandai Namco Entertainment']",4.3,2.1K,2100,"['Adventure', 'RPG']",14000,447,2.5K,1.4K,From Software,Bandai Namco Entertainment,2011,Sep,AAA,Adventure,RPG,,,,,,,,,,"['PS3', 'X360']"
840,The Legend of Zelda: Ocarina of Time,21-Nov-98,"['Nintendo', 'Nintendo EAD']",4.3,2.2K,2200,"['Adventure', 'RPG']",17000,433,3K,1.4K,Nintendo EAD,Nintendo,1998,Nov,AAA,Adventure,RPG,,,,,,,,,,['N64']
845,BioShock,21-Aug-07,"['2K Games', '2K Boston']",4,1.8K,1800,"['Adventure', 'RPG', 'Shooter']",17000,339,4K,1.2K,Irrational Games,2K Games,2007,Aug,AAA,Adventure,RPG,Shooter,,,,,,,,,"['Series', 'X360', 'PC']"
846,Metal Gear Solid,3-Sep-98,"['Microsoft', 'Konami Computer Entertainment Japan']",4.2,1.9K,1900,"['Adventure', 'Tactical']",12000,287,3K,1.6K,Konami Computer Entertainment Japan,Konami,1998,Sep,AAA,Adventure,Tactical,,,,,,,,,,['PS']
